County	Tier.2007
Alamance	2
Alexander	2
Alleghany	1
Anson	1
Ashe	2
Avery	2
Beaufort	1
Bertie	1
Bladen	1
Brunswick	3
Buncombe	3
Burke	1
Cabarrus	3
Caldwell	1
Camden	1
Carteret	3
Caswell	1
Catawba	2
Chatham	3
Cherokee	2
Chowan	2
Clay	1
Cleveland	1
Columbus	1
Craven	2
Cumberland	1
Currituck	2
Dare	2
Davidson	2
Davie	2
Duplin	1
Durham	3
Edgecombe	1
Forsyth	3
Franklin	3
Gaston	2
Gates	1
Graham	1
Granville	2
Greene	1
Guilford	3
Halifax	1
Harnett	2
Haywood	3
Henderson	3
Hertford	1
Hoke	2
Hyde	1
Iredell	3
Jackson	2
Johnston	3
Jones	1
Lee	2
Lenoir	1
Lincoln	3
Macon	2
Madison	2
Martin	1
McDowell	1
Mecklenburg	3
Mitchell	1
Montgomery	1
Moore	3
Nash	2
New Hanover	3
Northampton	1
Onslow	2
Orange	3
Pamlico	2
Pasquotank	2
Pender	2
Perquimans	2
Person	2
Pitt	2
Polk	2
Randolph	2
Richmond	1
Robeson	1
Rockingham	1
Rowan	2
Rutherford	1
Sampson	2
Scotland	1
Stanly	2
Stokes	2
Surry	1
Swain	2
Transylvania	2
Tyrrell	1
Union	3
Vance	1
Wake	3
Warren	1
Washington	1
Watauga	2
Wayne	1
Wilkes	2
Wilson	1
Yadkin	2
Yancey	1
